location,area_m2,bedrooms,bathrooms,floors,frontage,price_million_vnd
"Quận 5, Hồ Chí Minh",135.0,8.0,9.0,5.0,1,24500.0
"Quận 12, Hồ Chí Minh",25.0,2.0,2.0,4.0,0,2630.0
"Bình Tân, Hồ Chí Minh",54.0,4.0,5.0,5.0,0,4900.0
"Tân Bình, Hồ Chí Minh",78.0,6.0,4.0,4.0,1,9300.0
"Bắc Từ Liêm, Hà Nội",30.0,2.0,3.0,5.0,0,2750.0
"Quận 11, Hồ Chí Minh",37.0,4.0,3.0,5.0,0,8000.0
"Bình Tân, Hồ Chí Minh",21.0,2.0,1.0,4.0,0,2150.0
"Gò Vấp, Hồ Chí Minh",80.0,5.0,6.0,4.0,0,7800.0
"Bình Tân, Hồ Chí Minh",24.0,4.0,2.0,5.0,0,2600.0
"Quận 10, Hồ Chí Minh",40.0,4.0,4.0,5.0,0,8000.0
"Quận 5, Hồ Chí Minh",160.0,12.0,13.0,6.0,1,56000.0
"Quận 10, Hồ Chí Minh",60.0,12.0,13.0,7.0,1,18800.0
"Hà Đông, Hà Nội",93.0,5.0,4.0,7.0,0,13800.0
"Đống Đa, Hà Nội",28.0,3.0,3.0,7.0,0,5050.0
"Quận 10, Hồ Chí Minh",64.0,4.0,4.0,5.0,1,13900.0
"Nam Từ Liêm, Hà Nội",80.0,6.0,4.0,5.0,1,12900.0
"Ba Đình, Hà Nội",26.0,4.0,4.0,6.0,1,7900.0
"Đống Đa, Hà Nội",34.0,3.0,3.0,5.0,0,6700.0
"Tân Bình, Hồ Chí Minh",18.0,2.0,2.0,4.0,0,2980.0
"Quận 3, Hồ Chí Minh",165.0,18.0,19.0,10.0,1,61500.0
"Quận 10, Hồ Chí Minh",43.0,4.0,4.0,5.0,1,12500.0
"Thanh Xuân, Hà Nội",70.0,8.0,8.0,9.0,0,32000.0
"Quận 10, Hồ Chí Minh",234.0,10.0,11.0,6.0,0,12400.0
"Ba Đình, Hà Nội",44.0,4.0,4.0,6.0,0,11500.0
"Hà Đông, Hà Nội",31.0,3.0,4.0,6.0,0,2550.0
"Bình Tân, Hồ Chí Minh",60.0,4.0,4.0,5.0,0,4000.0
"Đống Đa, Hà Nội",33.0,4.0,6.0,9.0,0,16500.0
"Gò Vấp, Hồ Chí Minh",28.0,2.0,,3.0,0,3450.0
"Quận 11, Hồ Chí Minh",46.0,4.0,4.0,5.0,0,8600.0
"Quận 8, Hồ Chí Minh",26.0,3.0,3.0,4.0,0,3100.0
"Cầu Giấy, Hà Nội",280.0,8.0,8.0,9.0,1,195000.0
"Bình Tân, Hồ Chí Minh",60.0,4.0,4.0,3.0,0,5000.0
"Đống Đa, Hà Nội",55.0,4.0,5.0,7.0,1,33000.0
"Quận 10, Hồ Chí Minh",64.0,12.0,13.0,6.0,1,30000.0
"Cầu Giấy, Hà Nội",110.0,8.0,8.0,9.0,1,61500.0
"Bình Thạnh, Hồ Chí Minh",135.0,20.0,20.0,9.0,0,24500.0
"Tân Bình, Hồ Chí Minh",84.0,19.0,21.0,6.0,0,16500.0
"Quận 3, Hồ Chí Minh",165.0,18.0,19.0,10.0,1,61500.0
"Tân Phú, Hồ Chí Minh",117.0,,,4.0,1,14500.0
"Bình Tân, Hồ Chí Minh",32.0,2.0,2.0,3.0,0,3700.0
"Bình Tân, Hồ Chí Minh",60.0,4.0,4.0,3.0,0,3000.0
"Đống Đa, Hà Nội",72.0,12.0,12.0,8.0,0,20000.0
"Hà Đông, Hà Nội",34.0,,,5.0,0,5500.0
"Ngũ Hành Sơn, Đà Nẵng",110.0,6.0,7.0,6.0,0,7400.0
"Thanh Xuân, Hà Nội",40.0,4.0,5.0,6.0,1,7300.0
"Hoàng Mai, Hà Nội",48.0,3.0,4.0,6.0,0,5000.0
"Tây Hồ, Hà Nội",30.0,3.0,3.0,6.0,0,4950.0
"Thanh Xuân, Hà Nội",170.0,2.0,9.0,10.0,1,100000.0
"Quận 10, Hồ Chí Minh",32.0,3.0,3.0,4.0,0,5000.0
"Tân Bình, Hồ Chí Minh",60.0,4.0,4.0,4.0,0,3000.0
"Ba Đình, Hà Nội",106.0,12.0,5.0,6.0,0,23500.0
"Biên Hòa, Đồng Nai",100.0,3.0,2.0,3.0,0,1580.0
"Đống Đa, Hà Nội",70.0,2.0,1.0,2.0,0,2180.0
"Gò Vấp, Hồ Chí Minh",20.0,2.0,2.0,3.0,0,2800.0
"Bình Thạnh, Hồ Chí Minh",45.0,4.0,4.0,5.0,0,5300.0
"Tân Bình, Hồ Chí Minh",18.0,2.0,2.0,4.0,0,2980.0
"Bình Tân, Hồ Chí Minh",24.0,2.0,2.0,3.0,1,2800.0
"Tân Bình, Hồ Chí Minh",18.0,2.0,2.0,4.0,0,2980.0
"Tân Bình, Hồ Chí Minh",57.0,4.0,4.0,4.0,0,6500.0
"Tân Bình, Hồ Chí Minh",80.0,3.0,3.0,3.0,0,19500.0
"Tân Bình, Hồ Chí Minh",35.0,,3.0,4.0,1,5900.0
"Quận 10, Hồ Chí Minh",30.0,2.0,2.0,3.0,0,4200.0
"Quận 10, Hồ Chí Minh",61.0,5.0,3.0,4.0,0,10000.0
"Bình Tân, Hồ Chí Minh",21.0,2.0,2.0,4.0,0,2600.0
"Quận 10, Hồ Chí Minh",60.0,4.0,4.0,5.0,0,12000.0
"Quận 12, Hồ Chí Minh",25.0,2.0,2.0,4.0,0,2630.0
"Hà Đông, Hà Nội",50.0,3.0,3.0,6.0,1,8200.0
"Quận 2, Hồ Chí Minh",100.0,,,4.0,0,10500.0
"Bình Tân, Hồ Chí Minh",64.0,2.0,3.0,3.0,0,3350.0
"Bình Thạnh, Hồ Chí Minh",45.0,3.0,2.0,5.0,1,5500.0
"Bắc Từ Liêm, Hà Nội",2.0,4.0,3.0,6.0,0,3500.0
"Quận 10, Hồ Chí Minh",16.0,2.0,2.0,4.0,0,3900.0
"Nam Từ Liêm, Hà Nội",120.0,31.0,32.0,11.0,0,36000.0
"Hoài Đức, Hà Nội",30.0,4.0,3.0,6.0,0,3600.0
"Hà Đông, Hà Nội",30.0,3.0,3.0,6.0,0,3400.0
"Tân Phú, Hồ Chí Minh",40.0,2.0,2.0,3.0,1,3850.0
"Quận 7, Hồ Chí Minh",100.0,4.0,5.0,4.0,1,14800.0
"Hà Đông, Hà Nội",31.0,3.0,3.0,6.0,0,4300.0
"Cầu Giấy, Hà Nội",46.0,7.0,5.0,6.0,0,8000.0
"Tân Bình, Hồ Chí Minh",128.0,4.0,5.0,5.0,0,13000.0
"Thanh Khê, Đà Nẵng",25.0,2.0,3.0,4.0,0,1450.0
"Hà Đông, Hà Nội",32.0,3.0,3.0,5.0,0,3500.0
"Thanh Xuân, Hà Nội",46.0,6.0,7.0,8.0,0,12000.0
"Tân Bình, Hồ Chí Minh",91.0,2.0,2.0,3.0,0,10000.0
"Hà Đông, Hà Nội",38.0,4.0,4.0,6.0,0,9750.0
"Quận 12, Hồ Chí Minh",24.0,3.0,3.0,4.0,0,2050.0
"Hoài Đức, Hà Nội",33.0,3.0,4.0,6.0,0,3850.0
"Quận 12, Hồ Chí Minh",24.0,3.0,3.0,4.0,0,2050.0
"Cầu Giấy, Hà Nội",32.0,5.0,4.0,7.0,0,6500.0
"Thanh Xuân, Hà Nội",52.0,4.0,5.0,5.0,0,6800.0
"Quận 12, Hồ Chí Minh",24.0,3.0,3.0,4.0,0,2050.0
"Hoài Đức, Hà Nội",70.0,16.0,16.0,8.0,1,9800.0
"Thanh Trì, Hà Nội",33.0,3.0,4.0,6.0,0,3800.0
"Bình Thạnh, Hồ Chí Minh",114.0,4.0,4.0,3.0,0,25000.0
"Quận 10, Hồ Chí Minh",38.0,4.0,2.0,3.0,0,4700.0
"Hai Bà Trưng, Hà Nội",41.0,7.0,7.0,5.0,0,9600.0
"Hải Châu, Đà Nẵng",41.0,3.0,3.0,4.0,0,3300.0
"Hai Bà Trưng, Hà Nội",53.0,3.0,4.0,6.0,0,14000.0
"Cầu Giấy, Hà Nội",35.0,3.0,4.0,6.0,0,5150.0
"Quận 12, Hồ Chí Minh",100.0,6.0,6.0,6.0,1,11000.0
"Ba Đình, Hà Nội",28.0,,,7.0,0,5500.0
"Nam Từ Liêm, Hà Nội",32.0,4.0,4.0,6.0,0,4600.0
"Phú Nhuận, Hồ Chí Minh",100.0,4.0,5.0,5.0,0,19000.0
"Hoài Đức, Hà Nội",30.0,3.0,4.0,6.0,1,3650.0
"Quận 7, Hồ Chí Minh",31.0,2.0,3.0,4.0,0,3800.0
"Hà Đông, Hà Nội",40.0,3.0,4.0,5.0,0,7000.0
"Ngô Quyền, Hải Phòng",60.0,4.0,3.0,5.0,0,5950.0
"Quận 7, Hồ Chí Minh",120.0,4.0,5.0,5.0,0,16800.0
"Thanh Xuân, Hà Nội",55.0,4.0,4.0,6.0,0,8700.0
"Tân Bình, Hồ Chí Minh",60.0,4.0,4.0,5.0,0,8000.0
"Long Biên, Hà Nội",75.0,6.0,6.0,9.0,1,27800.0
"Hoàn Kiếm, Hà Nội",38.0,4.0,3.0,5.0,0,5800.0
"Quận 5, Hồ Chí Minh",106.0,6.0,5.0,5.0,1,57000.0
"Hai Bà Trưng, Hà Nội",37.0,4.0,4.0,6.0,0,6850.0
"Thanh Xuân, Hà Nội",40.0,5.0,3.0,6.0,0,4700.0
"Tân Bình, Hồ Chí Minh",60.0,4.0,4.0,5.0,0,8000.0
"Long Biên, Hà Nội",1100.0,3.0,4.0,4.0,1,50000.0
"Ba Đình, Hà Nội",43.0,,,6.0,0,6300.0
"Tân Bình, Hồ Chí Minh",60.0,4.0,4.0,4.0,1,8000.0
"Thanh Xuân, Hà Nội",38.0,6.0,6.0,6.0,0,6950.0
"Quận 3, Hồ Chí Minh",28.0,2.0,2.0,3.0,0,4990.0
"Bình Tân, Hồ Chí Minh",60.0,4.0,5.0,6.0,0,6800.0
"Tân Bình, Hồ Chí Minh",60.0,4.0,4.0,5.0,0,8000.0
"Quận 10, Hồ Chí Minh",146.0,3.0,3.0,5.0,1,29000.0
"Tân Phú, Hồ Chí Minh",37.0,3.0,3.0,5.0,0,5750.0
"Cầu Giấy, Hà Nội",64.0,12.0,13.0,9.0,0,32000.0
"Tân Phú, Hồ Chí Minh",37.0,,,5.0,0,5750.0
"Đống Đa, Hà Nội",90.0,11.0,11.0,6.0,0,18300.0
"Đống Đa, Hà Nội",50.0,4.0,2.0,6.0,1,14950.0
"Hai Bà Trưng, Hà Nội",33.0,4.0,4.0,6.0,0,6500.0
"Hai Bà Trưng, Hà Nội",33.0,6.0,6.0,6.0,0,6380.0
"Đống Đa, Hà Nội",36.0,3.0,3.0,5.0,0,13500.0
"Long Biên, Hà Nội",94.0,14.0,14.0,9.0,1,28800.0
"Tân Bình, Hồ Chí Minh",36.0,,,5.0,0,6200.0
"Đống Đa, Hà Nội",37.0,4.0,5.0,8.0,1,15000.0
"An Dương, Hải Phòng",70.0,4.0,3.0,4.0,0,2850.0
"Bình Tân, Hồ Chí Minh",88.0,,,4.0,0,8500.0
"Hà Đông, Hà Nội",40.0,3.0,4.0,5.0,0,7000.0
"Tây Hồ, Hà Nội",73.0,14.0,14.0,9.0,0,16500.0
"Long Biên, Hà Nội",90.0,8.0,8.0,7.0,1,23800.0
"Quận 10, Hồ Chí Minh",52.0,3.0,3.0,5.0,1,12500.0
"Bình Tân, Hồ Chí Minh",50.0,4.0,4.0,5.0,0,5000.0
"Long Biên, Hà Nội",167.0,5.0,6.0,6.0,1,75000.0
"Tân Bình, Hồ Chí Minh",100.0,5.0,5.0,6.0,0,26000.0
"Thủ Đức, Hồ Chí Minh",90.0,3.0,4.0,3.0,1,9000.0
"Hà Đông, Hà Nội",35.0,4.0,4.0,6.0,0,4950.0
"Thủ Đức, Hồ Chí Minh",50.0,2.0,2.0,3.0,0,7000.0
"Hà Đông, Hà Nội",35.0,4.0,4.0,6.0,0,9000.0
"Tân Bình, Hồ Chí Minh",35.0,2.0,2.0,3.0,0,2200.0
"Bắc Từ Liêm, Hà Nội",31.0,2.0,2.0,5.0,0,3.8
"Long Biên, Hà Nội",115.0,4.0,5.0,9.0,1,36500.0
"Hoàn Kiếm, Hà Nội",43.0,5.0,5.0,7.0,0,8000.0
"Gò Vấp, Hồ Chí Minh",55.0,3.0,5.0,6.0,0,9000.0
"Quận 3, Hồ Chí Minh",183.0,,,5.0,0,37000.0
"Hai Bà Trưng, Hà Nội",52.0,10.0,10.0,7.0,0,1.18
"Huế, Thừa Thiên Huế",280.0,4.0,4.0,6.0,0,5300.0
"Hai Bà Trưng, Hà Nội",60.0,3.0,3.0,4.0,0,9500.0
"Bình Tân, Hồ Chí Minh",48.0,4.0,3.0,4.0,0,5450.0
"Hai Bà Trưng, Hà Nội",57.0,4.0,3.0,5.0,0,12500.0
"Thanh Xuân, Hà Nội",331.0,2.0,14.0,10.0,1,195000.0
"Hoàng Mai, Hà Nội",30.0,3.0,4.0,6.0,0,3900.0
"Phú Nhuận, Hồ Chí Minh",64.0,5.0,5.0,4.0,0,2540.0
"Ba Đình, Hà Nội",50.0,4.0,4.0,5.0,1,21000.0
"Tân Bình, Hồ Chí Minh",80.0,2.0,2.0,3.0,0,2750.0
"Hai Bà Trưng, Hà Nội",30.0,,,6.0,0,4800.0
"Bắc Từ Liêm, Hà Nội",43.0,4.0,4.0,6.0,0,4600.0
"Long Biên, Hà Nội",34.0,,,6.0,0,5600.0
"Long Biên, Hà Nội",36.0,,,4.0,0,4100.0
"Hai Bà Trưng, Hà Nội",35.0,4.0,3.0,5.0,1,3900.0
"Quận 11, Hồ Chí Minh",60.0,4.0,4.0,6.0,0,8000.0
"Quận 9, Hồ Chí Minh",52.0,,,3.0,0,5550.0
"Phú Nhuận, Hồ Chí Minh",60.0,4.0,4.0,5.0,0,9000.0
"Thủ Đức, Hồ Chí Minh",56.0,2.0,2.0,3.0,0,4300.0
"Thủ Đức, Hồ Chí Minh",56.0,2.0,2.0,3.0,1,4300.0
"Ba Đình, Hà Nội",45.0,6.0,7.0,6.0,0,11000.0
"Bình Tân, Hồ Chí Minh",26.0,2.0,2.0,2.0,0,2350.0
"Hai Bà Trưng, Hà Nội",35.0,3.0,4.0,6.0,0,5900.0
"Tân Phú, Hồ Chí Minh",36.0,2.0,2.0,3.0,0,3500.0
"Thanh Trì, Hà Nội",35.0,3.0,3.0,6.0,0,3860.0
"Quận 7, Hồ Chí Minh",44.0,4.0,3.0,5.0,0,6600.0
"Quận 8, Hồ Chí Minh",151.0,2.0,3.0,2.0,0,5400.0
"Thanh Xuân, Hà Nội",34.0,,,6.0,0,5850.0
"Quận 10, Hồ Chí Minh",61.0,3.0,3.0,5.0,1,11000.0
"Quận 7, Hồ Chí Minh",46.0,2.0,2.0,3.0,1,7900.0
"Phú Nhuận, Hồ Chí Minh",55.0,4.0,3.0,4.0,0,7000.0
"Tân Phú, Hồ Chí Minh",40.0,,,3.0,0,3400.0
"Ngũ Hành Sơn, Đà Nẵng",90.0,5.0,4.0,4.0,1,6700.0
"Cầu Giấy, Hà Nội",35.0,,,7.0,0,6800.0
"Đống Đa, Hà Nội",36.0,6.0,6.0,8.0,0,16500.0
"Phú Nhuận, Hồ Chí Minh",15.0,2.0,2.0,3.0,0,4800.0
"Gò Vấp, Hồ Chí Minh",52.0,,,3.0,0,3500.0
"Ba Đình, Hà Nội",42.0,4.0,3.0,5.0,0,6000.0
"Ba Đình, Hà Nội",40.0,4.0,4.0,6.0,0,5600.0
"Bình Thạnh, Hồ Chí Minh",40.0,,,5.0,0,5800.0
"Ba Đình, Hà Nội",36.0,3.0,3.0,5.0,0,6800.0
"Bình Thạnh, Hồ Chí Minh",37.0,,,4.0,0,4100.0
"Ba Đình, Hà Nội",36.0,4.0,3.0,5.0,0,6000.0
"Gò Vấp, Hồ Chí Minh",40.0,,,5.0,0,8300.0
"Ba Đình, Hà Nội",40.0,4.0,4.0,6.0,0,6500.0
"Gò Vấp, Hồ Chí Minh",,,,7.0,0,9900.0
"Tân Phú, Hồ Chí Minh",,,,4.0,0,3800.0
"Tân Bình, Hồ Chí Minh",,3.0,2.0,4.0,1,6000.0
"Hoàng Mai, Hà Nội",,5.0,4.0,5.0,0,5450.0
"Tân Bình, Hồ Chí Minh",,3.0,3.0,5.0,0,4500.0
"Hải Châu, Đà Nẵng",,,,4.0,0,2350.0
"Hóc Môn, Hồ Chí Minh",,,,3.0,0,500.0
"Phú Nhuận, Hồ Chí Minh",,,,5.0,0,7200.0
"Đống Đa, Hà Nội",,11.0,12.0,8.0,0,8800.0
"Đống Đa, Hà Nội",,5.0,4.0,6.0,0,13500.0
"Dĩ An, Bình Dương",,3.0,2.0,2.0,0,2900.0
"Long Biên, Hà Nội",,,,6.0,0,10500.0
"Quận 4, Hồ Chí Minh",,,,6.0,0,8100.0
"Gò Vấp, Hồ Chí Minh",,4.0,,5.0,0,7000.0
"Bàu Bàng, Bình Dương",,3.0,4.0,4.0,0,2560.0
"Tân Phú, Hồ Chí Minh",,5.0,6.0,5.0,0,9800.0
"Tân Phú, Hồ Chí Minh",,4.0,4.0,5.0,0,5400.0
"Phú Nhuận, Hồ Chí Minh",,2.0,2.0,9.0,1,24900.0
"Tây Hồ, Hà Nội",,2.0,2.0,3.0,0,930.0
"Gò Vấp, Hồ Chí Minh",,2.0,2.0,2.0,0,3750.0
"Cầu Giấy, Hà Nội",,7.0,7.0,9.0,0,33500.0
"Long Biên, Hà Nội",,3.0,2.0,6.0,1,6000.0
"Bình Tân, Hồ Chí Minh",,,,2.0,0,3300.0
"Phú Nhuận, Hồ Chí Minh",,5.0,3.0,5.0,1,9200.0
"Bình Tân, Hồ Chí Minh",,4.0,5.0,6.0,0,74.0
"Bình Tân, Hồ Chí Minh",,,,4.0,0,5700.0
"Tây Hồ, Hà Nội",,,,4.0,0,5450.0
"Quận 10, Hồ Chí Minh",,,,4.0,0,25650.0
"Hà Đông, Hà Nội",,3.0,3.0,6.0,0,3250.0
"Ba Đình, Hà Nội",85.0,9.0,9.0,11.0,1,68000.0
"Ba Đình, Hà Nội",120.0,6.0,6.0,8.0,1,59000.0
"Hoàng Mai, Hà Nội",,,,5.0,0,8000.0
"Quận 10, Hồ Chí Minh",,10.0,6.0,5.0,0,31000.0
"Thanh Khê, Đà Nẵng",,3.0,,3.0,0,285.0
"Huế, Thừa Thiên Huế",,6.0,6.0,3.0,0,3650.0
"Phú Nhuận, Hồ Chí Minh",,3.0,4.0,6.0,1,5400.0
"Quận 10, Hồ Chí Minh",,,,5.0,0,13000.0
"Tây Hồ, Hà Nội",,,6.0,6.0,0,5.0
"Tân Bình, Hồ Chí Minh",,3.0,4.0,3.0,0,6100.0
"Tân Bình, Hồ Chí Minh",,3.0,3.0,4.0,0,3900.0
"Bình Thạnh, Hồ Chí Minh",,3.0,,4.0,1,3800.0
"Bình Thạnh, Hồ Chí Minh",,,,6.0,0,19000.0
"Tân Bình, Hồ Chí Minh",,,,6.0,0,10500.0
"Thủ Đức, Hồ Chí Minh",,,,3.0,0,11500.0
"Sơn Trà, Đà Nẵng",,,,4.0,0,4500.0
"Bình Thạnh, Hồ Chí Minh",,10.0,10.0,9.0,1,65000.0
"Bình Tân, Hồ Chí Minh",,,,4.0,0,8500.0
"Bình Tân, Hồ Chí Minh",,,,2.0,0,4450.0
"Quận 6, Hồ Chí Minh",,4.0,,4.0,0,5500.0
"Đống Đa, Hà Nội",,4.0,,6.0,0,6900.0
"Bình Tân, Hồ Chí Minh",,,,4.0,0,4250.0
"Phú Nhuận, Hồ Chí Minh",,8.0,6.0,7.0,1,33000.0
"Quận 8, Hồ Chí Minh",,,,3.0,0,6600.0
"Huế, Thừa Thiên Huế",,2.0,2.0,3.0,0,275.0
"Tân Bình, Hồ Chí Minh",,3.0,3.0,5.0,0,5800.0
"Gò Vấp, Hồ Chí Minh",,5.0,5.0,6.0,0,9000.0
"Bình Tân, Hồ Chí Minh",,,,2.0,0,4800.0
"Bến Cát, Bình Dương",,2.0,2.0,2.0,0,480.0
"Tây Hồ, Hà Nội",,3.0,4.0,6.0,0,4500.0
"Gò Vấp, Hồ Chí Minh",,2.0,2.0,3.0,0,4700.0
"Phú Nhuận, Hồ Chí Minh",,,,8.0,1,43000.0
"Tân Uyên, Bình Dương",,2.0,3.0,2.0,0,2530.0
"Hóc Môn, Hồ Chí Minh",,16.0,16.0,5.0,0,11600.0
"Tân Bình, Hồ Chí Minh",,4.0,3.0,4.0,0,4800.0
"Tân Phú, Hồ Chí Minh",,4.0,4.0,5.0,0,4600.0
"Tân Bình, Hồ Chí Minh",,,,5.0,0,8800.0
"Biên Hòa, Đồng Nai",,2.0,2.0,2.0,0,2200.0
"Long Biên, Hà Nội",,5.0,6.0,7.0,0,8600.0
"Quận 8, Hồ Chí Minh",,,,4.0,0,7700.0
"Đống Đa, Hà Nội",,,,6.0,0,465000.0
"Hồng Bàng, Hải Phòng",,4.0,3.0,5.0,0,4250.0
"Phú Nhuận, Hồ Chí Minh",,14.0,14.0,7.0,0,23000.0
"Gò Vấp, Hồ Chí Minh",,5.0,5.0,4.0,0,5500.0
"Hoàng Mai, Hà Nội",,,,6.0,0,4550.0
"Bình Chánh, Hồ Chí Minh",,3.0,2.0,2.0,0,1150.0
"Bình Thạnh, Hồ Chí Minh",,3.0,4.0,5.0,0,5900.0
"Quận 7, Hồ Chí Minh",,5.0,6.0,6.0,0,23000.0
"Hải Châu, Đà Nẵng",,2.0,2.0,3.0,0,1990.0
"Quận 2, Hồ Chí Minh",,4.0,4.0,5.0,0,6500.0
"Thanh Trì, Hà Nội",,,,6.0,0,2350.0
"Bình Thạnh, Hồ Chí Minh",,4.0,5.0,5.0,1,10200.0
"Gò Vấp, Hồ Chí Minh",,4.0,5.0,5.0,0,6500.0
"Bình Thạnh, Hồ Chí Minh",,2.0,2.0,3.0,1,3400.0
"Gò Vấp, Hồ Chí Minh",,5.0,3.0,5.0,0,7990.0
"Hai Bà Trưng, Hà Nội",,9.0,10.0,6.0,0,6500.0
"Gò Vấp, Hồ Chí Minh",,3.0,2.0,3.0,1,5200.0
"Bình Tân, Hồ Chí Minh",,,,6.0,0,5700.0
"Bình Tân, Hồ Chí Minh",,4.0,3.0,5.0,0,7300.0
"Tân Phú, Hồ Chí Minh",,3.0,,4.0,1,5900.0
"Thủ Đức, Hồ Chí Minh",,16.0,16.0,4.0,0,19500.0
"Hai Bà Trưng, Hà Nội",,,,7.0,1,16800.0
"Thanh Xuân, Hà Nội",,,,6.0,1,5300.0
"Bình Tân, Hồ Chí Minh",,,,2.0,0,7500.0
"Bình Tân, Hồ Chí Minh",,,,3.0,0,3550.0
"Gò Vấp, Hồ Chí Minh",,7.0,6.0,4.0,0,6500.0
"Long Biên, Hà Nội",,4.0,6.0,5.0,0,11400.0
"Bình Tân, Hồ Chí Minh",,,,5.0,0,5900.0
"Bình Tân, Hồ Chí Minh",,3.0,4.0,6.0,0,6280.0
"Long Biên, Hà Nội",,4.0,4.0,5.0,0,3100.0
"Bình Thạnh, Hồ Chí Minh",,2.0,2.0,3.0,0,3800.0
"Gò Vấp, Hồ Chí Minh",,5.0,6.0,6.0,0,10700.0
"Tân Phú, Hồ Chí Minh",,,,6.0,0,76000.0
"Bình Tân, Hồ Chí Minh",,,,4.0,0,4300.0
"Ba Đình, Hà Nội",,4.0,3.0,6.0,0,5900.0
"Hoàng Mai, Hà Nội",,,,6.0,0,5800.0
"Thanh Xuân, Hà Nội",,,,5.0,0,6500.0
"Nam Từ Liêm, Hà Nội",,3.0,4.0,6.0,0,3850.0
"Bình Tân, Hồ Chí Minh",,,,3.0,0,5000.0
"Quận 8, Hồ Chí Minh",,,,4.0,0,3850.0
"Tân Phú, Hồ Chí Minh",,3.0,3.0,4.0,0,4700.0
"Tân Bình, Hồ Chí Minh",,,,3.0,0,9500.0
"Lê Chân, Hải Phòng",,3.0,2.0,4.0,1,4950.0
"Thanh Trì, Hà Nội",,4.0,,6.0,0,2980.0
"Sơn Tây, Hà Nội",,,,4.0,0,3500.0
"Quận 3, Hồ Chí Minh",,2.0,2.0,7.0,1,19800.0
"Long Biên, Hà Nội",,4.0,5.0,5.0,1,16000.0
"Quận 9, Hồ Chí Minh",,,,6.0,0,13500.0
"Thủ Đức, Hồ Chí Minh",,,,5.0,0,39000.0
"Hoàn Kiếm, Hà Nội",,18.0,19.0,9.0,0,26000.0
"Bình Thạnh, Hồ Chí Minh",,6.0,5.0,3.0,1,7500.0
"Bình Tân, Hồ Chí Minh",,,,2.0,0,4500.0
"Bình Tân, Hồ Chí Minh",,,,6.0,1,6900.0
"Hoàng Mai, Hà Nội",,,,6.0,0,5800.0
"Huế, Thừa Thiên Huế",,3.0,2.0,3.0,0,2450.0
"Tân Phú, Hồ Chí Minh",,5.0,5.0,5.0,0,6500.0
"Hà Đông, Hà Nội",,6.0,5.0,6.0,0,4700.0
"Tân Bình, Hồ Chí Minh",,4.0,,4.0,1,8000.0
"Bình Thạnh, Hồ Chí Minh",,21.0,22.0,7.0,0,17900.0
"Quận 10, Hồ Chí Minh",,5.0,4.0,7.0,0,11400.0
"Ngũ Hành Sơn, Đà Nẵng",,16.0,18.0,10.0,0,22500.0
"Gò Vấp, Hồ Chí Minh",,4.0,4.0,3.0,0,5900.0
"Quận 7, Hồ Chí Minh",,3.0,4.0,4.0,0,6000.0
"Long Biên, Hà Nội",,4.0,4.0,6.0,0,6200.0
"Long Biên, Hà Nội",,4.0,5.0,8.0,1,15600.0
"Bình Tân, Hồ Chí Minh",,,,2.0,0,5500.0
"Bình Thạnh, Hồ Chí Minh",,2.0,2.0,3.0,0,4800.0
"Thủ Đức, Hồ Chí Minh",,,,6.0,0,27000.0
"Hồng Bàng, Hải Phòng",,3.0,3.0,4.0,0,2000.0
"Quận 1, Hồ Chí Minh",,4.0,5.0,5.0,0,16000.0
"Quận 11, Hồ Chí Minh",,6.0,4.0,5.0,0,8500.0
"Quận 9, Hồ Chí Minh",,,,5.0,0,5500.0
"Bình Tân, Hồ Chí Minh",,,,4.0,0,6400.0
"Thủ Đức, Hồ Chí Minh",,,,6.0,0,92000.0
"Long Biên, Hà Nội",,4.0,6.0,7.0,0,11600.0
"Quận 12, Hồ Chí Minh",,3.0,4.0,4.0,0,5600.0
"Hồng Bàng, Hải Phòng",,4.0,3.0,5.0,0,3400.0
"Gò Vấp, Hồ Chí Minh",,6.0,4.0,4.0,0,8900.0
"Biên Hòa, Đồng Nai",,3.0,2.0,2.0,0,850.0
"Thủ Đức, Hồ Chí Minh",,,,4.0,0,9400.0
"Bình Tân, Hồ Chí Minh",,,,4.0,0,7350.0
"Bình Thạnh, Hồ Chí Minh",,4.0,4.0,3.0,0,4200.0
"Long Biên, Hà Nội",,4.0,4.0,5.0,0,14900.0
"Hoàn Kiếm, Hà Nội",,2.0,4.0,6.0,1,32000.0
"Phú Nhuận, Hồ Chí Minh",,3.0,3.0,4.0,0,5200.0
"Gò Vấp, Hồ Chí Minh",,3.0,3.0,4.0,0,6900.0
"Long Biên, Hà Nội",,4.0,5.0,7.0,0,13000.0
"Quận 10, Hồ Chí Minh",,3.0,3.0,5.0,1,67000.0
"Phú Nhuận, Hồ Chí Minh",,6.0,6.0,6.0,0,14800.0
"Tây Hồ, Hà Nội",,3.0,4.0,6.0,0,5600.0
"Gò Vấp, Hồ Chí Minh",,4.0,6.0,6.0,0,7950.0
"Gò Vấp, Hồ Chí Minh",,4.0,5.0,5.0,0,6600.0
"Gò Vấp, Hồ Chí Minh",,13.0,14.0,6.0,0,12600.0
"Tân Phú, Hồ Chí Minh",,6.0,5.0,6.0,1,11000.0
"Bình Thạnh, Hồ Chí Minh",,2.0,2.0,4.0,0,7300.0
"Tân Phú, Hồ Chí Minh",,5.0,5.0,6.0,0,8900.0
